Entidad,Porcentaje
Sinaloa,64.6
Tlaxcala,63.4
Tamaulipas,63.3
Puebla,62.1
Nuevo Leon,62.0
Michoacán,61.8
Veracruz,60.1
Aguascalientes,59.7
Jalisco,59.5
Yucatan,58.3
Baja California Sur,58.0
Ciudad de México,57.8
Queretaro,57.8
Hidalgo,57.5
Sonora,56.8
Morelos,56.6
MÉXICO,56.6
Tabasco,55.2
Oaxaca,55.1
GUANAJUATO,55.1
Coahuila,53.9
Colima,53.8
Quintana Roo,52.9
Nayarit,50.9
Baja California,50.0
Chihuahua,49.2
Zacatecas,48.0
Durango,47.5
Campeche,47.5
San Luis Potosi,45.6
Chiapas,44.6
Guerrero,41.3
